Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
1,1,Alka Yagnik,424,484271040,0.07%,43,10
2,2,Udit Narayan,445,356491339,0.09%,43,10
3,4,Kumar Sanu,420,284863657,0.07%,43,10
4,5,Arijit Singh,454,282114920,0.08%,43,10
5,3,Bruno Mars,454,268166964,-0.06%,43,10
6,7,Shreya Ghoshal,426,200935799,0.16%,43,10
7,6,Shilpi Raj,200,185933949,0.06%,43,10
8,10,Pawan Singh,357,158750202,0.11%,43,10
9,14,Sachin-Jigar,158,158263753,0.19%,43,10
10,9,Peso Pluma,101,149482144,0.02%,43,10
11,13,Khesari Lal Yadav,339,148426307,0.09%,43,10
12,15,Sonu Nigam,410,147230475,0.12%,43,10
13,11,Lata Mangeshkar,437,146312713,0.05%,43,10
14,8,ROSÉ,10,145656860,-0.14%,43,10
15,12,Bad Bunny,419,143077533,0.03%,43,10
16,16,Fuerza Regida,138,141603368,0.08%,43,10
17,19,Lady Gaga,337,131383314,0.13%,43,10
18,18,KAROL G,372,126421703,0%,43,10
19,20,The Weeknd,440,124128530,0.07%,43,10
20,17,Eminem,454,117006679,-0.07%,43,10
21,28,Divya Kumar,23,115617273,0.26%,43,10
22,23,Anuel AA,337,110877021,0.04%,43,10
23,24,Shakira,454,104086726,-0.01%,43,10
24,22,Billie Eilish,328,103544507,-0.03%,43,10
25,25,Taylor Swift,454,101430468,0.02%,43,10
26,29,Pritam,184,99243347,0.10%,43,10
27,31,Anirudh Ravichander,204,99126784,0.12%,43,10
28,26,Tito Double P,20,95330439,0%,43,10
29,32,Óscar Maydon,56,92224911,0.12%,43,10
30,30,Anuradha Paudwal,380,91377323,0.03%,43,10
31,27,Junior H,193,90442807,-0.02%,43,10
32,34,Yo Yo Honey Singh,338,82801923,0.07%,43,10
33,35,Sunidhi Chauhan,367,81955560,0.07%,43,10
34,37,Linkin Park,452,81301501,0.07%,43,10
35,36,Ozuna,425,79868835,0.04%,43,10
36,45,Natanael Cano,162,79027030,0.11%,43,10
37,33,Cris Mj,136,76987310,-0.01%,43,10
38,38,Feid,166,76350805,0.02%,43,10
39,48,Shilpa Rao,95,76332913,0.12%,43,10
40,39,Maluma,454,76236434,0.03%,43,10
41,41,Myke Towers,287,74822465,0.02%,43,10
42,43,Romeo Santos,454,74732695,0.03%,43,10
43,42,Ariana Grande,454,73647533,0.01%,43,10
44,44,Rauw Alejandro,270,72857457,0.02%,43,10
45,40,Justin Bieber,454,72406000,-0.02%,43,10
46,46,Carin Leon,195,72135379,0.02%,43,10
47,56,Shivani Singh,87,72104923,0.14%,43,10
48,51,Neha Kakkar,421,70915389,0.08%,43,10
49,49,J Balvin,454,70846850,0.04%,43,10
50,50,Jubin Nautiyal,286,70699223,0.07%,43,10
51,79,Madhubanti Bagchi,14,69262787,0.35%,43,10
52,52,Himesh Reshammiya,277,68975016,0.06%,43,10
53,54,SP Balasubrahmanyam,251,68737368,0.07%,43,10
54,68,Diljit Dosanjh,217,68634964,0.19%,43,10
55,47,Sabrina Carpenter,41,68415508,-0.02%,43,10
56,57,Sameer Anjaan,42,68383154,0.09%,43,10
57,55,Kavita Krishnamurthy,299,67919466,0.06%,43,10
58,21,One Direction,283,66018737,-0.39%,43,10
59,63,Michael Jackson,454,65832408,0.11%,43,10
60,53,Grupo Frontera,110,65443061,0.01%,43,10
61,n/a,Tyler, The Creator,13,64563441,43,10
62,74,Luis R Conriquez,164,64331173,0.13%,43,10
63,58,Daddy Yankee,454,63820866,0.02%,43,10
64,64,Kishore Kumar,307,63146501,0.07%,43,10
65,60,Henrique & Juliano,379,62650010,0.01%,43,10
66,59,Farruko,385,62152046,-0.01%,43,10
67,72,Atif Aslam,351,62148694,0.09%,43,10
68,61,Grupo Firme,217,61927787,0.03%,43,10
69,67,Rihanna,454,60441689,0.05%,43,10
70,66,aespa,119,59729434,0.04%,43,10
71,65,Karan Aujla,158,59603862,0.02%,43,10
72,70,BTS,454,59396010,0.04%,43,10
73,62,Ashish Yadav,54,58835542,-0.02%,43,10
74,69,Coldplay,454,58672035,0.02%,43,10
75,75,Chris Brown,436,57623446,0.02%,43,10
76,88,Masoom Sharma,105,57457995,0.17%,43,10
77,71,Ed Sheeran,454,57453602,0.01%,43,10
78,73,Maria Becerra,195,56980377,0%,43,10
79,76,Aventura,323,56972165,0.03%,43,10
80,n/a,MC Tuto,26,55645119,n/a,43,10
81,81,Asha Bhosle,255,55066532,0.09%,43,10
82,n/a,Julión Álvarez y su Norteño Banda,50,54573740,n/a,43,10
83,78,Travis Scott,299,54474175,0.01%,43,10
84,87,Sidhu Moose Wala,210,54327519,0.11%,43,10
85,84,A. R. Rahman,202,53809297,0.09%,43,10
86,82,Sadhana Sargam,237,53452042,0.06%,43,10
87,86,Blessd,157,52691219,0.07%,43,10
88,n/a,B Praak,263,52011061,n/a,43,10
89,80,BLACKPINK,376,51827026,0.02%,43,10
90,93,Abhijeet Bhattacharya,225,51508790,0.08%,43,10
91,83,MC Ryan SP,157,51194748,0.03%,43,10
92,77,JENNIE,59,50815572,-0.06%,43,10
93,89,Post Malone,398,50067363,0.02%,43,10
94,94,Maroon 5,452,50051894,0.05%,43,10
95,90,Don Omar,323,49877228,0.02%,43,10
96,96,Mohammed Aziz,220,49736222,0.06%,43,10
97,98,KK,173,49727511,0.08%,43,10
98,91,Adele,357,49183136,0.02%,43,10
99,85,Future,378,49031505,-0.01%,43,10
100,95,Vicente Fernández,322,48855213,0.04%,43,10
